Activity Number,BBE Status,OLI Category,Line #
1-35VKGW4C,BBE Deleted,Deleted,4
1-35VL2UP1,BBE Available,New,4
1-35VLKQTV,BBE Available,SysAdded,4
1-35VLOMBD,BBE Closed,SysAdded,4
1-35VMFAAR,BBE Deleted,Deleted,4
1-35VMJ7PB,BBE Closed,New,4
1-35VMME5X,BBE Available,New,4
1-35VMMP2F,BBE Deleted,Deleted,4
1-35VN5KM1,BBE Closed,SysAdded,4
1-35VN7D3I,BBE Deleted,Deleted,4
1-35VNC6VC,BBE Closed,Added,4
1-35VNHV4R,BBE Deleted,Deleted,4
1-35VO5G6I,BBE Deleted,Deleted,4
1-35VO6EXI,BBE Available,SysAdded,4
1-35VO74ER,BBE Available,SysAdded,4
1-35VOA1T7,BBE Deleted,Deleted,4
1-35VODWAU,BBE Available,SysAdded,4
1-35VOGFRC,BBE Available,SysAdded,4
1-35VOMVD4,BBE Available,SysAdded,4
1-35VORZ27,BBE Deleted,Deleted,4
1-35VOVW61,BBE Available,New,4
1-35VPEJRT,BBE Available,New,4
1-35VPI1Y6,BBE Closed,SysAdded,4
1-35VPQAWQ,BBE Available,SysAdded,4
1-35VQUKER,BBE Deleted,Deleted,4
1-35VR0VXD,BBE Available,SysAdded,4
1-35VR0XKC,BBE Available,SysAdded,4
1-35VREXOM,BBE Closed,SysAdded,4
1-35VRFJ84,BBE Available,New,4
1-35VRG74N,BBE Deleted,Deleted,4
1-35VS2AYR,BBE Available,SysAdded,4
1-35VS9LUD,BBE Deleted,Deleted,4
1-35VTXS5L,BBE Closed,SysAdded,4
1-35VUEXPR,BBE Closed,SysAdded,4
1-35VURA4W,BBE Available,New,4
1-35VUUOMB,BBE Available,SysAdded,4
1-35VV5PKE,BBE Available,New,4
1-35VVCBTL,BBE Deleted,Deleted,4
1-35VVFFRQ,BBE Available,SysAdded,4
1-35VVIM99,BBE Deleted,Deleted,4
1-35VVT15S,BBE Available,SysAdded,4
1-35VVY7UO,BBE Closed,SysAdded,4
1-35VWECSS,BBE Closed,SysAdded,4
1-35VWFBC2,BBE Deleted,Deleted,4
1-35VWG2AK,BBE Available,New,4
1-35VX5QR0,BBE Available,SysAdded,4
1-35VXMQ6Z,BBE Available,New,4
1-35VXYM1Z,BBE Available,SysAdded,4
1-35VYWX8F,BBE Closed,New,4
1-35VYZSDZ,BBE Deleted,Deleted,4
1-35VZ4BLC,BBE Available,SysAdded,4
1-35VZ9ZK5,BBE Available,SysAdded,4
1-35VZAC0W,BBE Available,SysAdded,4
1-35W09C25,BBE Available,New,4
1-35W0R26M,BBE Available,New,4
1-35W1PGLA,BBE Available,SysAdded,4
1-35W2HHFW,BBE Available,SysAdded,4
1-35KM7YTM,BBE Available,New,3
1-35RE4ZZD,BBE Closed,New,3
1-35SOSWBH,BBE Available,New,3
1-35T2Q13O,BBE Deleted,Deleted,3
1-35TBX844,BBE Available,New,3
1-35TMLOCC,BBE Deleted,Deleted,3
1-35TOH8MW,BBE Closed,New,3
1-35TRCTDN,BBE Closed,SysAdded,3
1-35TRJF0U,BBE Available,SysAdded,3
1-35TUI1M2,BBE Deleted,Deleted,3
1-35U0IM17,BBE Available,New,3
1-35U19IPD,BBE Available,SysAdded,3
1-35U1SR4M,BBE Deleted,Deleted,3
1-35U1V7X2,BBE Available,New,3
1-35U3IO3O,BBE Available,New,3
1-35U3T6EC,BBE Closed,New,3
1-35U5TZWY,BBE Deleted,Deleted,3
1-35U9LRLQ,BBE Available,New,3
1-35U9W8KW,BBE Available,New,3
1-35UB7SMV,BBE Deleted,Deleted,3
1-35UBAFIA,BBE Deleted,Deleted,3
1-35UCK8US,BBE Available,SysAdded,3
1-35UCNQ97,BBE Available,SysAdded,3
1-35UD7DT8,BBE Available,SysAdded,3
1-35UGIFWQ,BBE Deleted,Deleted,3
1-35UK0VYR,BBE Deleted,Deleted,3
1-35UKEABQ,BBE Deleted,Deleted,3
1-35ULFKVU,BBE Deleted,Deleted,3
1-35UNVC7R,BBE Closed,New,3
1-35UP3D9R,BBE Closed,New,3
1-35UPLVW9,BBE Available,New,3
1-35UQ2O7U,BBE Available,SysAdded,3
1-35UXNW1U,BBE Available,New,3
1-35UXU450,BBE Available,SysAdded,3
1-35UZK8J3,BBE Deleted,Deleted,3
1-35V0NN5T,BBE Deleted,Deleted,3
1-35V2ZRDF,BBE Deleted,Deleted,3
1-35V37ZOU,BBE Available,SysAdded,3
1-35V3G9Y0,BBE Closed,SysAdded,3
1-35V3NE82,BBE Available,SysAdded,3
1-35V3NQCH,BBE Available,SysAdded,3
1-35V3UH59,BBE Closed,SysAdded,3
1-35V62X12,BBE Available,SysAdded,3
1-35V70LK0,BBE Deleted,Deleted,3
1-35V7YKQM,BBE Deleted,Deleted,3
1-35V8IK8W,BBE Deleted,Deleted,3
1-35V8LPYQ,BBE Closed,SysAdded,3
1-35V8Z2NI,BBE Closed,New,3
1-35V8Z61K,BBE Closed,New,3
1-35V954NS,BBE Available,SysAdded,3
1-35V9QK11,BBE Available,New,3
1-35VABSH7,BBE Available,SysAdded,3
1-35VB63BY,BBE Deleted,Deleted,3
1-35VB8JX8,BBE Available,SysAdded,3
1-35VBDDNL,BBE Closed,New,3
1-35VC9O5G,BBE Available,New,3
1-35VCL0DV,BBE Closed,SysAdded,3
1-35VCR7QC,BBE Available,SysAdded,3
1-35VCSWCT,BBE Available,SysAdded,3
1-35VDQL86,BBE Available,SysAdded,3
1-35VDSUI5,BBE Deleted,Deleted,3
1-35VELSLG,BBE Deleted,Deleted,3
1-35VGDG7M,BBE Available,SysAdded,3
1-35VGQ2WF,BBE Available,SysAdded,3
1-35VGWCNA,BBE Deleted,Deleted,3
1-35VHKOEB,BBE Available,SysAdded,3
1-35VI97Q4,BBE Available,SysAdded,3
1-35VIEG5U,BBE Deleted,Deleted,3
1-35VIJWNF,BBE Available,New,3
1-35VIOZ2O,BBE Available,New,3
1-35VIYXZZ,BBE Deleted,Deleted,3
1-35VJ24HP,BBE Available,New,3
1-35VKIWPD,BBE Available,SysAdded,3
1-35VLE61G,BBE Available,SysAdded,3
1-35VM3O04,BBE Deleted,Deleted,3
1-35VMJ6OR,BBE Closed,SysAdded,3
1-35VN2ZK7,BBE Available,New,3
1-35VNMP7Y,BBE Deleted,Deleted,3
1-35VO1UY0,BBE Closed,SysAdded,3
1-35VODQH4,BBE Available,SysAdded,3
1-35VP2NCC,BBE Deleted,Deleted,3
1-35VPD5EO,BBE Available,SysAdded,3
1-35VPJG7W,BBE Available,SysAdded,3
1-35VPL5CC,BBE Closed,SysAdded,3
1-35VQ3MJD,BBE Closed,SysAdded,3
1-35VQ5EOE,BBE Available,New,3
1-35VQL7SX,BBE Available,SysAdded,3
1-35VQN59I,BBE Available,SysAdded,3
1-35VQQN9Y,BBE Available,New,3
1-35VR2P03,BBE Deleted,Deleted,3
1-35VR5IT9,BBE Deleted,Deleted,3
1-35VRRIP2,BBE Closed,Added,3
1-35VTYRE0,BBE Deleted,Deleted,3
1-35VUMSX0,BBE Deleted,Deleted,3
1-35VUZDSS,BBE Deleted,Deleted,3
1-35VV29HT,BBE Available,SysAdded,3
1-35VV36YA,BBE Deleted,Deleted,3
1-35VVBBF7,BBE Available,SysAdded,3
1-35VVDS1V,BBE Available,SysAdded,3
1-35VVXX6Y,BBE Available,SysAdded,3
1-35VW5ZGG,BBE Deleted,Deleted,3
1-35VWNC6P,BBE Available,SysAdded,3
1-35VX1D0M,BBE Closed,SysAdded,3
1-35VX554W,BBE Deleted,Deleted,3
1-35VXYJCT,BBE Available,SysAdded,3
1-35VYLMEU,BBE Available,SysAdded,3
1-35VYUY29,BBE Closed,New,3
1-35VYY7YT,BBE Closed,SysAdded,3
1-35VZ6SEG,BBE Available,SysAdded,3
1-35VZ75P2,BBE Available,SysAdded,3
1-35VZ8X6Q,BBE Available,SysAdded,3
1-35VZ92D8,BBE Available,SysAdded,3
1-35VZPGGW,BBE Deleted,Deleted,3
1-35VZU89U,BBE Deleted,Deleted,3
1-35W02BWL,BBE Available,New,3
1-35W15FAM,BBE Available,SysAdded,3
1-35W1UUZ2,BBE Available,SysAdded,3
1-35W2GTN1,BBE Available,SysAdded,3
1-35N0HY4Z,BBE Available,New,2
1-35SEZM0I,BBE Available,New,2
1-35TO4O3T,BBE Available,New,2
1-35TPCWP4,BBE Deleted,Deleted,2
1-35TPMCES,BBE Available,New,2
1-35TU5G7T,BBE Available,New,2
1-35TUHQ1D,BBE Available,New,2
1-35TZ0PB2,BBE Available,New,2
1-35U0X32M,BBE Available,SysAdded,2
1-35U3L2W6,BBE Available,SysAdded,2
1-35U4O8JC,BBE Deleted,Deleted,2
1-35U50NIP,BBE Available,New,2
1-35UCD79O,BBE Deleted,Deleted,2
1-35UGKEH7,BBE Available,New,2
1-35UHFYLI,BBE Available,New,2
1-35UHH6YG,BBE Available,SysAdded,2
1-35UK7AIA,BBE Available,SysAdded,2
1-35UO3CYY,BBE Available,New,2
1-35UOJWCF,BBE Available,SysAdded,2
1-35UOO1UR,BBE Available,New,2
1-35UP8CWV,BBE Available,New,2
1-35UP9REC,BBE Available,New,2
1-35UVKN2U,BBE Available,New,2
1-35UWA1DO,BBE Available,New,2
1-35UWCEZ4,BBE Available,New,2
1-35UWHKMZ,BBE Deleted,Deleted,2
1-35UYAG1G,BBE Deleted,Deleted,2
1-35UZ4UX1,BBE Closed,New,2
1-35UZCGC7,BBE Deleted,Deleted,2
1-35V2H0ZV,BBE Available,New,2
1-35V2HFLF,BBE Closed,New,2
1-35VA4AYX,BBE Closed,SysAdded,2
1-35VADRDI,BBE Deleted,Deleted,2
1-35VB7IC0,BBE Closed,SysAdded,2
1-35VCB706,BBE Available,New,2
1-35VD1K7I,BBE Available,SysAdded,2
1-35VDISVF,BBE Available,New,2
1-35VDMAVK,BBE Deleted,Deleted,2
1-35VEHRTF,BBE Closed,New,2
1-35VGWLQP,BBE Available,SysAdded,2
1-35VH3ASH,BBE Available,SysAdded,2
1-35VI9DAZ,BBE Closed,New,2
1-35VILVTC,BBE Deleted,Deleted,2
1-35VIZZF9,BBE Closed,New,2
1-35VKI3R8,BBE Deleted,Deleted,2
1-35VL7JWK,BBE Available,SysAdded,2
1-35VLEBNL,BBE Deleted,Deleted,2
1-35VLJHGZ,BBE Available,SysAdded,2
1-35VLXAXF,BBE Deleted,Deleted,2
1-35VMDFY7,BBE Closed,SysAdded,2
1-35VMFPSP,BBE Deleted,Deleted,2
1-35VOJAGM,BBE Available,SysAdded,2
1-35VORND2,BBE Deleted,Deleted,2
1-35VOZ0PV,BBE Deleted,Deleted,2
1-35VOZCC9,BBE Deleted,Deleted,2
1-35VPALGW,BBE Deleted,Deleted,2
1-35VPLJYQ,BBE Deleted,Deleted,2
1-35VPNB48,BBE Deleted,Deleted,2
1-35VPS9XO,BBE Closed,SysAdded,2
1-35VS5CW1,BBE Closed,SysAdded,2
1-35VUAD6N,BBE Available,SysAdded,2
1-35VULTFX,BBE Deleted,Deleted,2
1-35VULWLG,BBE Deleted,Deleted,2
1-35VUOXOQ,BBE Available,SysAdded,2
1-35VUZ84D,BBE Available,New,2
1-35VVBQZD,BBE Available,SysAdded,2
1-35VVVT5I,BBE Available,SysAdded,2
1-35VX0BAU,BBE Available,SysAdded,2
1-35VX23M6,BBE Deleted,Deleted,2
1-35VXM3FS,BBE Available,New,2
1-35VXQS3O,BBE Available,SysAdded,2
1-35VY38UY,BBE Available,SysAdded,2
1-35VYELOI,BBE Available,New,2
1-35VYF61O,BBE Deleted,Deleted,2
1-35VZ7I40,BBE Closed,SysAdded,2
1-35W0N6ZO,BBE Available,SysAdded,2
1-35W0RD6M,BBE Available,SysAdded,2
1-35W0XBZZ,BBE Available,New,2
1-35W1PU17,BBE Available,New,2
1-35W1ZIEW,BBE Available,New,2
1-35UDGT48,BBE Available,New,1
1-35UGW0P5,BBE Deleted,Deleted,1
1-35V7EB0E,BBE Deleted,Deleted,1
1-35VN2A6K,BBE Available,New,1
1-35VOIYPK,BBE Available,New,1
1-35VS3JLT,BBE Closed,New,1
1-35VX1DM2,BBE Available,New,1
