Activity Number,BBE Status,OLI Category,Line #
1-35VJHIB4,BBE Available,SysAdded,9
1-35VKMHRR,BBE Closed,SysAdded,9
1-35VM22V9,BBE Available,New,9
1-35VMW1QI,BBE Closed,SysAdded,9
1-35VOW6MK,BBE Available,New,9
1-35VPO7II,BBE Available,New,9
1-35VRMCAS,BBE Available,New,9
1-35VV24B5,BBE Available,New,9
1-35VVM6JG,BBE Closed,SysAdded,9
1-35VY44OS,BBE Deleted,Deleted,9
1-35VZS3QC,BBE Available,New,9
1-35MRQALX,BBE Available,New,8
1-35O3TK1S,BBE Available,New,8
1-35Q951MV,BBE Deleted,Deleted,8
1-35RHV0DA,BBE Available,New,8
1-35RSF833,BBE Available,New,8
1-35RYDT98,BBE Available,New,8
1-35SBV08T,BBE Closed,New,8
1-35SE53H8,BBE Available,New,8
1-35SEE82Z,BBE Available,New,8
1-35SO976E,BBE Available,New,8
1-35T246BH,BBE Closed,New,8
1-35T5OSP6,BBE Available,SysAdded,8
1-35T9H9OM,BBE Available,New,8
1-35TB4BKI,BBE Available,New,8
1-35TE35ZB,BBE Available,New,8
1-35TF4D3G,BBE Available,New,8
1-35TFGDL6,BBE Available,New,8
1-35TH4GGH,BBE Available,New,8
1-35TIXBKX,BBE Available,New,8
1-35TLN5EH,BBE Available,New,8
1-35TLVSVS,BBE Available,New,8
1-35TLWCD8,BBE Available,New,8
1-35TQ8P2I,BBE Available,New,8
1-35TQVRNL,BBE Closed,New,8
1-35TR6OXE,BBE Deleted,Deleted,8
1-35TTBXRY,BBE Closed,New,8
1-35TU5K3M,BBE Closed,SysAdded,8
1-35TYYIX0,BBE Available,New,8
1-35TZBV7L,BBE Available,New,8
1-35TZVR91,BBE Closed,New,8
1-35U0XIQI,BBE Available,New,8
1-35U2986J,BBE Closed,SysAdded,8
1-35U3K7KS,BBE Available,New,8
1-35U3S4MR,BBE Available,New,8
1-35U9QSHS,BBE Available,New,8
1-35UCNX5V,BBE Deleted,Deleted,8
1-35UCOXCX,BBE Available,New,8
1-35UHIMLT,BBE Closed,New,8
1-35UHMVV4,BBE Available,New,8
1-35UI6CHL,BBE Available,New,8
1-35UIFUHH,BBE Available,New,8
1-35UKOXH5,BBE Deleted,Deleted,8
1-35UM6J4W,BBE Closed,New,8
1-35UN2HE5,BBE Closed,SysAdded,8
1-35UNQROZ,BBE Closed,SysAdded,8
1-35UO8S8U,BBE Available,New,8
1-35UPPTPQ,BBE Closed,SysAdded,8
