Activity Number,BBE Status,OLI Category,Line #
1-35VMSFXH,BBE Closed,SysAdded,9
1-35VO15HA,BBE Closed,New,9
1-35VOHA31,BBE Closed,SysAdded,9
1-35VPKLZE,BBE Closed,SysAdded,9
1-35VPXMPY,BBE Closed,SysAdded,9
1-35VQMZHL,BBE Closed,SysAdded,9
1-35VR5DT6,BBE Closed,SysAdded,9
1-35VR9L4I,BBE Available,New,9
1-35VRST6G,BBE Closed,SysAdded,9
1-35VU8KME,BBE Closed,SysAdded,9
1-35VW5M8L,BBE Available,New,9
1-35VXKLOT,BBE Available,SysAdded,9
1-35VXLEUE,BBE Closed,SysAdded,9
1-35VXNCZZ,BBE Available,New,9
1-35VYDYV0,BBE Available,New,9
1-35W09LHQ,BBE Available,New,9
1-35MFF6AP,BBE Available,SysAdded,8
1-35OQR0BB,BBE Available,New,8
1-35PMGDKD,BBE Available,New,8
1-35Q962Z8,BBE Closed,New,8
1-35QDVJ9M,BBE Closed,New,8
1-35QIFR29,BBE Deleted,Deleted,8
1-35QTKEV8,BBE Available,New,8
1-35RSD9WY,BBE Closed,New,8
1-35S210Y1,BBE Closed,SysAdded,8
1-35S907RZ,BBE Closed,SysAdded,8
1-35S9VXS4,BBE Available,New,8
1-35SB4QCC,BBE Available,New,8
1-35SGK4Q5,BBE Closed,New,8
1-35SL0X8U,BBE Closed,New,8
1-35SLB378,BBE Available,New,8
1-35SPCIMA,BBE Deleted,Deleted,8
1-35SQJAMI,BBE Available,New,8
1-35T2XVO4,BBE Available,New,8
1-35T3R8GV,BBE Available,New,8
1-35T98EKS,BBE Available,New,8
1-35TEINJ1,BBE Available,New,8
1-35TOGS4L,BBE Closed,SysAdded,8
1-35TQQXV8,BBE Available,New,8
1-35TYFDO0,BBE Available,SysAdded,8
1-35U44QS6,BBE Closed,New,8
1-35UB585Y,BBE Available,New,8
1-35UL22DA,BBE Available,New,8
1-35UMIA0K,BBE Closed,New,8
1-35UVOTPM,BBE Available,New,8
1-35UVVJZ3,BBE Closed,New,8
1-35V0AETI,BBE Closed,SysAdded,8
1-35V0CYY4,BBE Available,New,8
1-35V1PBES,BBE Closed,SysAdded,8
1-35V39Q9T,BBE Available,New,8
1-35V6BSD5,BBE Available,New,8
1-35V6H64E,BBE Closed,New,8
1-35V7L89K,BBE Available,SysAdded,8
1-35V8FE1F,BBE Closed,New,8
1-35V8RI0X,BBE Available,New,8
1-35V90IQZ,BBE Closed,New,8
1-35VA4LOP,BBE Available,New,8
1-35VA9KIT,BBE Available,New,8
1-35VAQ1XF,BBE Closed,SysAdded,8
1-35VBPS1W,BBE Closed,New,8
1-35VBZEOH,BBE Deleted,Deleted,8
